pdbid,entity
1gtn,1
1ibm,19
1wrl,1
1xi4,1
2ek2,1
2o7d,1
2rmp,2
2xak,1
3gd4,1
3jcr,5
3kgv,1
3s8e,1
3zzp,1
4g7o,3
4j9h,2
4u4n,81
4v46,2
4we7,1
4z71,1
4zfz,3
5ceh,1
5fao,1
5gkd,1
5l1d,1
5m9b,1
5mps,29
5ojs,1
5qcw,1
5t9v,2
5tat,2
5tyl,1
5wlc,60
5xjc,21
6a6j,1
6a91,1
6g2h,1
6gyn,1
6h6e,1
6hyp,1
6ig9,1
6lqp,57
6lqr,59
6or6,1
6q5p,1
6r83,1
6rmh,1
6rxm,2
6scj,1
6sof,4
6tax,1
6uqk,1
6v3v,1
6x2c,1
6x35,2
6yx7,2
7a5f,80
7a5p,30
7d7d,7
7dcc,2
7dej,1
7jmg,1
7jmi,2
7k19,1
7k4c,1
7kqe,3
7lnk,1
7mbq,1
7mk5,1
7n6g,4
7nfw,2
7otw,1
7r5j,1
7sge,1
7sqc,2
7sqc,28
7tbj,11
7tyr,1
7u9t,2
7umz,1
7uxc,10
7vml,1
7vvz,16
7xgz,1
7xjy,1
7yfn,5
7yi4,1
8ag0,2
8anc,2
8ap4,1
8cu8,1
8d1v,1
8edm,1
8esc,1
8eza,4
8fdu,1
8fhh,1
8g5d,1
8glv,81
8i0t,1
8i0u,20
8ir9,6
8iun,3
8ixo,1
8oir,73
8oxm,2
8oxq,1
8ps2,1
8q7e,1
8q7x,3
8qzs,2
8ses,1
8sev,1
8to0,24
8trz,1
8vgv,2
8wao,11
8wxb,2
8x48,1
8xks,5
8xlf,1
8xlh,1
8y2o,1
8y40,3
8zdu,1
9b4h,2
9b93,1
9c3c,3
9c57,5
9d47,1
9dnw,1
9dwq,1
9e14,1
9e5c,100
9ei0,1
9flx,1
9fsq,1
9h5k,3
9hcj,2
9iz4,1
9k3b,23
9lj5,1
9n72,67
9n76,55
9nmq,1
9nmr,1
9qx1,1
9umb,1
9y6s,109
9yol,6
