,entry_id,entity_id,accession
0,115l,1,P00720
1,119l,1,P00720
2,139l,1,P00720
3,13pk,1,P07378
4,13rz,1,Q8WY64
5,13sd,1,Q8WY64
6,13se,1,Q8WY64
7,13si,1,Q8WY64
8,1a9n,2,P09661
9,1a9o,1,P55859
10,1a9q,1,P55859
11,1a9r,1,P55859
12,1a9u,1,Q16539
13,1a9w,2,P02100
14,1a9y,1,P09147
15,1aa4,1,P00431
16,1aay,3,P08046
17,1ab5,1,P0AE67
18,1ab8,1,P26769
19,1ab9,1,P00766
20,1abn,1,P15121
21,1aca,1,P07107
22,1acb,2,P01051
23,1acl,1,P04058
24,1acp,1,P0A6A8
25,1acx,1,P01551
26,1acy,1,P01663
27,1ad2,1,P27150
28,1ad4,1,O05701
29,1adq,1,P01861
30,1ae1,1,P50162
31,1ae3,1,P69543
32,1ae4,1,P50578
33,1ae5,1,P20160
34,1ae8,3,P01050
35,1ae9,1,P03700
36,1aec,1,P00785
37,1aed,1,P00431
38,1aee,1,P00431
39,1aeo,1,P00431
40,1aer,1,P11439
41,1aes,1,P00431
42,1aet,1,P00431
43,1af3,1,P53563
44,1afq,1,P00766
45,1afq,3,P00766
46,1afr,1,P22337
47,1afs,1,P23457
48,1afu,1,P61823
49,1afw,1,P27796
50,1ag4,1,P09353
51,1ag8,1,P20000
52,1agc,2,P61769
53,1ame,1,P19614
54,1ane,1,P00763
55,1ao3,1,P04275
56,1ao7,1,P04439
57,1ao7,3,P14079
58,1aog,1,P28593
59,1aok,1,P04084
60,1aon,1,P0A6F5
61,1aon,2,P0A6F9
62,1aot,2,P03079
63,1aox,1,P17301
64,1ap8,1,P07260
65,1apc,1,P0ABE7
66,1apj,1,P35555
67,1aps,1,P00818
68,1aqf,1,P11974
69,1aql,1,P30122
70,1aqm,1,P29957
71,1aqr,1,P0CX80
72,1aqs,1,P0CX80
73,1aqw,1,P09211
74,1ar1,1,P98002
75,1ar1,4,P01636
76,1ar5,1,P80293
77,1ar7,5,P03300
78,1ar8,3,P03300
79,1arb,1,P15636
80,1aro,1,P00573
81,1as0,1,P10824
82,1as3,1,P10824
83,1asj,2,P03300
84,1ayi,1,Q03708
85,1ayr,1,P08168
86,1az2,1,P15121
87,1az4,1,P04390
88,1az5,1,P05896
89,1aze,2,P26675
90,1azj,1,P62694
91,1azs,1,P30803
92,1azs,3,P04896
93,1azu,1,P00282
94,1b01,3,P13920
95,1b0r,1,P04439
96,1b0u,1,P02915
97,1b0y,1,P00260
98,1b0z,1,P13376
99,1b14,1,P10807
100,1b17,2,P01315
101,1b18,1,P01315
102,1b1u,1,P01087
103,1b24,1,P21505
104,1b27,1,P00648
105,1b2d,2,P01315
106,1b2f,2,P01315
107,1b2g,1,P01315
108,1b2l,1,P10807
109,1b2r,1,P21890
110,1b2u,1,P00648
111,1b31,1,P56588
112,1b33,1,P00315
113,1b35,3,P13418
114,1b3h,1,P06202
115,1b3n,1,P0AAI5
116,1b3x,1,P56588
117,1b43,1,O93634
118,1bcn,1,P05112
119,1bcp,4,P0A3R5
120,1bd2,5,A0A0K0K1A5
121,1bdg,1,Q26609
122,1bdu,1,P0A884
123,1bei,1,P29187
124,1ben,1,P01308
125,1beq,1,P00431
126,1bes,1,P00431
127,1beu,1,P00929
128,1bey,1,Q6GMX0
129,1bfc,1,P09038
130,1bfj,1,P23727
131,1bfm,1,P19267
132,1bg2,1,P33176
133,1bga,1,P22073
134,1bgc,1,P35833
135,1bge,1,P35834
136,1bgi,1,P00698
137,1bh8,2,Q15544
138,1bh9,2,Q15544
139,1bhc,1,P00974
140,1bhf,1,P06239
141,1bou,2,P22636
142,1box,1,P05798
143,1bp1,1,P17213
144,1bp3,1,P01241
145,1bp5,1,P02787
146,1bpb,1,P06766
147,1bqb,1,P81177
148,1bqh,1,P01901
149,1bqm,1,P03366
150,1bqn,1,P03366
151,1bqu,1,P40189
152,1bqz,1,P08622
153,1br8,1,P01008
154,1brk,1,P00648
155,1brm,1,P0A9Q9
156,1brs,1,P00648
157,1bs6,1,P0A6K3
158,1bs9,1,O59893
159,1bsc,1,P00648
160,1bsj,1,P0A6K3
161,1bt3,1,Q9ZP19
162,1bt5,1,P62593
163,1bt9,1,P02931
164,1bta,1,P11540
165,1bts,1,P02730
166,1btt,1,P02730
167,1btz,1,P00760
168,1c2l,1,P00760
169,1c3d,1,P01024
170,1c3x,1,P81989
171,1c41,1,Q9UVT8
172,1c46,1,P61626
173,1c4f,1,P42212
174,1c4o,1,Q56243
175,1c4v,2,P00734
176,1c4x,1,Q75WN8
177,1c55,1,P59936
178,1c57,1,P55915
179,1c5l,3,P01050
180,1c5s,1,P00760
181,1c5w,1,P00749
182,1c67,1,P00720
183,1c6h,1,P00720
184,1c6w,1,P60254
185,1c7j,1,P37967
186,1c7m,1,P54820
187,1c7r,1,P13376
188,1c7y,9,P0A809
189,1c80,1,P07953
190,1c8a,1,P35753
191,1c8h,1,P17455
192,1c8w,1,P61823
193,1cfn,2,P01864
194,1cfq,2,P01864
195,1cg4,1,P0A7D4
196,1cg8,2,P56692
197,1ch3,1,P02185
198,1cho,1,P00766
199,1cho,4,P68390
200,1chv,1,P07525
201,1ci0,1,P38075
202,1cia,1,P00484
203,1cij,1,P22643
204,1cip,1,P10824
205,1cit,3,P22829
206,1cjb,1,P20035
207,1cjk,1,P30803
208,1cjk,2,P26769
209,1cjk,3,P04896
210,1cju,2,P26769
211,1ck0,1,P01837
212,1ckh,1,P61626
213,1ckv,1,P18797
214,1ctu,1,P0ABF6
215,1ctx,1,P01391
216,1cuk,1,P0A809
217,1cv6,1,P00720
218,1cvb,1,P00918
219,1cvs,1,P09038
220,1cvw,2,P08709
221,1cvw,1,P08709
222,1cw4,1,P08200
223,1cw7,1,P08200
224,1cwk,1,P62937
225,1cwm,1,P62937
226,1cwo,1,P62937
227,1cwt,1,P30305
228,1cww,1,O14727
229,1cxw,1,P08253
230,1cxy,1,P82291
231,1cyj,1,P08197
232,1cyl,1,P05112
233,1cz6,1,P56684
234,1cz7,1,P20480
235,1d3q,2,P00734
236,1d3w,1,P00214
237,1d4d,1,P83223
238,1d4l,1,P03369
239,1d4t,2,Q13291
240,1d4u,1,P23025
241,1d5a,1,Q7SIG7
242,1d5e,2,P61823
243,1d5i,2,P01857
244,1d5i,1,P01834
245,1d5n,1,P00448
246,1d5s,1,P01009
247,1d5s,2,P01009
248,1d5x,3,P01552
249,1d6f,1,P30074
250,1d6m,1,P14294
251,1d6q,1,P61626
252,1d7d,1,Q01738
253,1d7f,1,P05618
254,1d7m,1,Q54HG2
255,1d7w,2,P05164
256,1d8b,1,P35187
257,1d8h,1,O13297
258,1d8i,1,O13297
259,1d8v,1,P24817
260,1d9x,1,P56981
261,1daa,1,P19938
262,1dae,1,P13000
263,1dan,1,P08709
264,1dbg,1,Q46079
265,1dhy,1,P17297
266,1di0,1,P61711
267,1dii,1,P09788
268,1dio,3,Q59472
269,1diz,3,P04395
270,1dja,1,P00807
271,1dje,1,P12998
272,1djh,1,P10688
273,1djl,1,Q13423
274,1djq,1,P16099
275,1dke,1,P69905
276,1dkg,1,P09372
277,1dkn,1,P07102
278,1dks,1,P61024
279,1dkt,1,P61024
280,1dl2,1,P32906
281,1dls,1,P00374
282,1dm0,1,Q9FBI2
283,1dmh,1,P07773
284,1dml,1,P10226
285,1dmm,1,P07445
286,1dna,1,P0A884
287,1dnp,1,P00914
288,1dnv,1,Q90125
289,1dnw,2,P05164
290,1dny,1,O30409
291,1do1,1,P02185
292,1dvf,1,P01635
293,1dvf,3,P01646
294,1dvh,1,P04032
295,1dvp,1,Q960X8
296,1dw0,1,P81238
297,1dw4,1,P05484
298,1dwb,2,P00734
299,1dwd,2,P00734
300,1dwz,1,P10279
301,1dx5,1,P00734
302,1dx5,2,P07204
303,1dxi,1,P37031
304,1dxk,1,P04190
305,1dxo,1,P15559
306,1dxx,1,P11532
307,1e0s,1,P62330
308,1e0z,1,P00216
309,1e1r,3,P05631
310,1e1s,1,P04156
311,1e1z,1,P15289
312,1e21,1,P07998
313,1e28,3,P12499
314,1e2j,1,P0DTH5
315,1e2k,1,P0DTH5
316,1e2l,1,P0DTH5
317,1e2r,1,P72181
318,1e34,1,P00772
319,1e38,1,P00772
320,1e3a,2,P06875
321,1e3j,1,O96496
322,1e3r,1,P07445
323,1e3s,1,O70351
324,1e3v,1,P07445
325,1e3w,1,O70351
326,1e47,1,P0AB87
327,1e49,1,P0AB87
328,1e55,1,P49235
329,1e5b,1,P54865
330,1e5i,1,P18548
331,1eaj,1,P78310
332,1eam,1,P07617
333,1ebm,3,O15527
334,1ebo,1,O11457
335,1ec1,1,P03366
336,1ece,1,P54583
337,1eci,2,P49344
338,1ed9,1,P00634
339,1edg,1,P17901
340,1edk,1,P38507
341,1edo,1,Q93X62
342,1edw,1,P02699
343,1edy,1,Q63041
344,1ee3,1,P00730
345,1ees,1,P60953
346,1eey,2,P61769
347,1eez,1,P04439
348,1eez,2,P61769
349,1efm,1,P0CE48
350,1efp,1,P38974
351,1efp,2,P38975
352,1elr,2,Q9H2A1
353,1elv,1,P09871
354,1emk,1,P42212
355,1emn,1,P35555
356,1en4,1,P00448
357,1en7,1,P13340
358,1enj,1,P04418
359,1eny,1,P9WGR1
360,1eo9,2,P20372
361,1eod,1,Q16968
362,1eou,1,P00918
363,1eov,1,P04802
364,1ep2,2,P56968
365,1ep7,1,P80028
366,1eph,1,P01132
367,1epr,1,P11838
368,1eq0,1,P26281
369,1eq4,1,P61626
370,1eq6,1,P47123
371,1eqg,1,P05979
372,1eqt,1,P13501
373,1eqw,1,P0CW86
374,1eri,2,P00642
375,1erq,1,P62593
376,1erz,1,P60327
377,1es3,1,P39042
378,1es5,1,P39042
379,1ese,1,P22266
380,1ex5,1,P00883
381,1exu,1,P55899
382,1ey6,1,P00644
383,1ey9,1,P00644
384,1eya,1,P00644
385,1eyq,1,P28012
386,1eza,1,P08839
387,1ezk,1,O96438
388,1ezo,1,P0AEX9
389,1ezr,1,P83851
390,1ezt,1,P49799
391,1ezu,2,P00763
392,1ezw,1,Q8TXY4
393,1ezx,3,P00760
394,1f0c,1,P07385
395,1f0g,1,P01507
396,1f0z,1,O32583
397,1f10,1,P00698
398,1f13,1,P00488
399,1f1a,1,P00445
400,1f1b,1,P0A786
401,1f1f,1,P00118
402,1f1g,1,P00445
403,1f1m,1,Q9AGB1
404,1f1o,1,P12047
405,1f1s,1,Q53591
406,1f1w,1,P00523
407,1f23,1,Q89797
408,1f82,1,P10844
409,1f8u,2,P0C1Z0
410,1f8v,3,Q9J7Z0
411,1f95,2,O43521
412,1f9d,1,P37698
413,1f9p,1,P02775
414,1fa4,1,Q3M9H8
415,1fav,1,P03069
416,1faw,1,P01989
417,1fb6,1,P07591
418,1fgm,1,P08170
419,1fgs,1,P15925
420,1fgu,1,P27694
421,1fh1,1,P04685
422,1fh7,1,P07986
423,1fhh,1,P00268
424,1fhr,2,P14737
425,1fhv,1,P29208
426,1fi7,1,P00004
427,1fib,1,P02679
